Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,num_veh_y,senc,obs,obsm,choc,manv,motor,catr,voie,v1,v2,circ,nbv,vosp,prof,plan,surf,infra,situ,vma,age
201900000858,20,9,2019,0 days 19:45:00,3,41,41149,2,1,1,6,Avenue des reclusages,"47,7467890","0,8643610",1,2,1,1958.0,5,2,-1,-1,B01,0,0,2,5,2,5,4,,,,2,2,0,1,1,1,0,1,-1,child
201900000858,20,9,2019,0 days 19:45:00,3,41,41149,2,1,1,6,Avenue des reclusages,"47,7467890","0,8643610",1,1,1,1994.0,5,2,-1,-1,B01,0,0,2,5,2,5,4,,,,2,2,0,1,1,1,0,1,-1,adult
201900000879,21,9,2019,0 days 15:35:00,1,50,50507,1,1,1,2,RD 421,"49,4950110"," -1,2656440",1,1,1,1939.0,5,1,-1,-1,B01,0,0,2,4,2,5,3,421,0.0,A,2,2,0,1,1,1,0,1,80,child
201900000879,21,9,2019,0 days 15:35:00,1,50,50507,1,1,1,2,RD 421,"49,4950110"," -1,2656440",1,4,1,1960.0,5,2,-1,-1,B01,0,0,2,4,2,5,3,421,0.0,A,2,2,0,1,1,1,0,1,80,adult
201900000907,20,9,2019,0 days 11:15:00,1,27,27016,2,1,1,1,Clos du Gambon,"49,2493350","1,4390520",1,1,1,1958.0,5,1,-1,-1,B01,0,0,2,7,19,5,4,,,,2,2,0,1,1,1,0,1,50,child
201900000907,20,9,2019,0 days 11:15:00,1,27,27016,2,1,1,1,Clos du Gambon,"49,2493350","1,4390520",1,4,1,2001.0,2,0,-1,-1,B01,0,0,2,7,19,5,4,,,,2,2,0,1,1,1,0,1,50,adult
201900000991,13,10,2019,0 days 12:10:00,1,63,63113,2,3,1,5,AURIOL (BOULEVARD VINCENT),"45,7928399","3,1198883",1,1,2,1948.0,0,1,0,-1,B01,1,0,2,1,1,5,7,210,0.0,,2,2,0,1,1,1,0,3,50,child
201900000991,13,10,2019,0 days 12:10:00,1,63,63113,2,3,1,5,AURIOL (BOULEVARD VINCENT),"45,7928399","3,1198883",1,1,1,1993.0,0,8,0,-1,B01,1,0,2,1,1,5,7,210,0.0,,2,2,0,1,1,1,0,3,50,adult
201900000991,13,10,2019,0 days 12:10:00,1,63,63113,2,3,1,5,AURIOL (BOULEVARD VINCENT),"45,7928399","3,1198883",1,4,1,1995.0,0,2,0,-1,B01,1,0,2,1,1,5,7,210,0.0,,2,2,0,1,1,1,0,3,50,adult
201900001022,30,1,2019,0 days 18:10:00,5,69,69191,2,1,1,6,route de lyon,"45,8124880","4,8183480",1,1,1,1933.0,5,1,-1,-1,B01,2,0,2,1,1,5,3,21,0.0,D,2,2,0,2,1,1,0,1,50,child
201900001022,30,1,2019,0 days 18:10:00,5,69,69191,2,1,1,6,route de lyon,"45,8124880","4,8183480",1,3,1,1991.0,9,2,-1,-1,B01,2,0,2,1,1,5,3,21,0.0,D,2,2,0,2,1,1,0,1,50,adult
201900001041,17,2,2019,0 days 12:48:00,1,76,76024,1,1,6,2,route de dieppe,"49,7503050","1,2846030",1,1,2,1931.0,5,1,-1,-1,A01,1,0,2,1,2,5,3,915,,,2,2,0,1,1,1,0,1,80,child
201900001041,17,2,2019,0 days 12:48:00,1,76,76024,1,1,6,2,route de dieppe,"49,7503050","1,2846030",2,1,2,1973.0,0,1,-1,-1,A01,1,0,2,1,2,5,3,915,,,2,2,0,1,1,1,0,1,80,adult
